run_name,backbone,arch_family,condition,pretrained,freeze_backbone,train_fraction,tier,epochs_cap,ref_ft_bs,ref_ft_reserved_gb,config,status,best_epoch,val_mean_dice,test_mean_dice,hd95_mean,nsd_mean,peak_vram_gb,wall_clock_h,wandb_url,ckpt_path,notes
ls_vocoH_ft_sc_f010,voco_h,SwinUNETR-huge,ft_sc,False,False,0.1,baseline-scratch,400,2,42.18,configs/lowshot/ls_vocoH_ft_sc_f010.yaml,,,,,,,,,,,
ls_vocoH_ft_sc_f025,voco_h,SwinUNETR-huge,ft_sc,False,False,0.25,baseline-scratch,500,2,42.18,configs/lowshot/ls_vocoH_ft_sc_f025.yaml,,,,,,,,,,,
ls_vocoH_ft_sc_f100,voco_h,SwinUNETR-huge,ft_sc,False,False,1.0,baseline-scratch,500,2,42.18,configs/lowshot/ls_vocoH_ft_sc_f100.yaml,,,,,,,,,,,
ls_biomedparse_frz_sc_f100,biomedparse,Focal2D,frz_sc,False,True,1.0,control-floor,500,,,configs/lowshot/ls_biomedparse_frz_sc_f100.yaml,,,,,,,,,,,
ls_ctclip_frz_sc_f100,ctclip,CTViT,frz_sc,False,True,1.0,control-floor,500,,,configs/lowshot/ls_ctclip_frz_sc_f100.yaml,,,,,,,,,,,
ls_ctfm_frz_sc_f100,ctfm,SegResNet-f32,frz_sc,False,True,1.0,control-floor,500,,,configs/lowshot/ls_ctfm_frz_sc_f100.yaml,running,250,0.7383,,,,,,,runs/frozen_stage0_20260714/ls_ctfm_frz_sc_f100/best.pt,train-val best over 11 val pts from runs/frozen_stage0_20260714/ls_ctfm_frz_sc_f100 (IN PROGRESS)
ls_dino3d_frz_sc_f100,dino3d,ViT-L,frz_sc,False,True,1.0,control-floor,500,,,configs/lowshot/ls_dino3d_frz_sc_f100.yaml,,,,,,,,,,,
ls_samMed3d_frz_sc_f100,sam_med3d,ViT-B,frz_sc,False,True,1.0,control-floor,500,,,configs/lowshot/ls_samMed3d_frz_sc_f100.yaml,,,,,,,,,,,
ls_supSegres_frz_sc_f100,suprem_segresnet,SegResNet-small,frz_sc,False,True,1.0,control-floor,500,,,configs/lowshot/ls_supSegres_frz_sc_f100.yaml,,,,,,,,,,,
ls_supSwin_frz_sc_f100,suprem_swinunetr,SwinUNETR-fs48,frz_sc,False,True,1.0,control-floor,500,,,configs/lowshot/ls_supSwin_frz_sc_f100.yaml,,,,,,,,,,,
ls_supUnet_frz_sc_f100,suprem_unet,UNet3D,frz_sc,False,True,1.0,control-floor,500,,,configs/lowshot/ls_supUnet_frz_sc_f100.yaml,,,,,,,,,,,
ls_vista3d_frz_sc_f100,vista3d,SegResNet-f48,frz_sc,False,True,1.0,control-floor,500,,,configs/lowshot/ls_vista3d_frz_sc_f100.yaml,,,,,,,,,,,
ls_vocoB_frz_sc_f100,voco_b,SwinUNETR-fs48,frz_sc,False,True,1.0,control-floor,500,,,configs/lowshot/ls_vocoB_frz_sc_f100.yaml,,,,,,,,,,,
ls_vocoH_frz_sc_f100,voco_h,SwinUNETR-huge,frz_sc,False,True,1.0,control-floor,500,,,configs/lowshot/ls_vocoH_frz_sc_f100.yaml,,,,,,,,,,,
