run_name,config,backbone,freeze_backbone,pretrained,train_fraction,condition,adapter,probe_comparable,arm,window,arm_n_fine_source
ls_ctfm_frz_pt_f001,configs/lowshot/ls_ctfm_frz_pt_f001.yaml,ctfm,True,True,0.01,frz_pt,native,True,N,native,pretrained
ls_ctfm_frz_pt_f005,configs/lowshot/ls_ctfm_frz_pt_f005.yaml,ctfm,True,True,0.05,frz_pt,native,True,N,native,pretrained
ls_ctfm_frz_pt_f010,configs/lowshot/ls_ctfm_frz_pt_f010.yaml,ctfm,True,True,0.1,frz_pt,native,True,N,native,pretrained
ls_ctfm_frz_pt_f025,configs/lowshot/ls_ctfm_frz_pt_f025.yaml,ctfm,True,True,0.25,frz_pt,native,True,N,native,pretrained
ls_ctfm_frz_pt_f100,configs/lowshot/ls_ctfm_frz_pt_f100.yaml,ctfm,True,True,1.0,frz_pt,native,True,N,native,pretrained
ls_ctfm_frz_sc_f001,configs/lowshot/ls_ctfm_frz_sc_f001.yaml,ctfm,True,False,0.01,frz_sc,native,True,N,native,pretrained
ls_ctfm_frz_sc_f005,configs/lowshot/ls_ctfm_frz_sc_f005.yaml,ctfm,True,False,0.05,frz_sc,native,True,N,native,pretrained
ls_ctfm_frz_sc_f010,configs/lowshot/ls_ctfm_frz_sc_f010.yaml,ctfm,True,False,0.1,frz_sc,native,True,N,native,pretrained
ls_ctfm_frz_sc_f025,configs/lowshot/ls_ctfm_frz_sc_f025.yaml,ctfm,True,False,0.25,frz_sc,native,True,N,native,pretrained
ls_ctfm_frz_sc_f100,configs/lowshot/ls_ctfm_frz_sc_f100.yaml,ctfm,True,False,1.0,frz_sc,native,True,N,native,pretrained
ls_ctfm_ft_pt_f001,configs/lowshot/ls_ctfm_ft_pt_f001.yaml,ctfm,False,True,0.01,ft_pt,native,True,N,native,pretrained
ls_ctfm_ft_pt_f005,configs/lowshot/ls_ctfm_ft_pt_f005.yaml,ctfm,False,True,0.05,ft_pt,native,True,N,native,pretrained
ls_ctfm_ft_pt_f010,configs/lowshot/ls_ctfm_ft_pt_f010.yaml,ctfm,False,True,0.1,ft_pt,native,True,N,native,pretrained
ls_ctfm_ft_pt_f025,configs/lowshot/ls_ctfm_ft_pt_f025.yaml,ctfm,False,True,0.25,ft_pt,native,True,N,native,pretrained
ls_ctfm_ft_pt_f100,configs/lowshot/ls_ctfm_ft_pt_f100.yaml,ctfm,False,True,1.0,ft_pt,native,True,N,native,pretrained
ls_ctfm_ft_sc_f001,configs/lowshot/ls_ctfm_ft_sc_f001.yaml,ctfm,False,False,0.01,ft_sc,native,True,N,native,pretrained
ls_ctfm_ft_sc_f005,configs/lowshot/ls_ctfm_ft_sc_f005.yaml,ctfm,False,False,0.05,ft_sc,native,True,N,native,pretrained
ls_ctfm_ft_sc_f010,configs/lowshot/ls_ctfm_ft_sc_f010.yaml,ctfm,False,False,0.1,ft_sc,native,True,N,native,pretrained
ls_ctfm_ft_sc_f025,configs/lowshot/ls_ctfm_ft_sc_f025.yaml,ctfm,False,False,0.25,ft_sc,native,True,N,native,pretrained
ls_ctfm_ft_sc_f100,configs/lowshot/ls_ctfm_ft_sc_f100.yaml,ctfm,False,False,1.0,ft_sc,native,True,N,native,pretrained
ls_vista3d_frz_pt_f001,configs/lowshot/ls_vista3d_frz_pt_f001.yaml,vista3d,True,True,0.01,frz_pt,native,True,N,native,pretrained
ls_vista3d_frz_pt_f005,configs/lowshot/ls_vista3d_frz_pt_f005.yaml,vista3d,True,True,0.05,frz_pt,native,True,N,native,pretrained
ls_vista3d_frz_pt_f010,configs/lowshot/ls_vista3d_frz_pt_f010.yaml,vista3d,True,True,0.1,frz_pt,native,True,N,native,pretrained
ls_vista3d_frz_pt_f025,configs/lowshot/ls_vista3d_frz_pt_f025.yaml,vista3d,True,True,0.25,frz_pt,native,True,N,native,pretrained
ls_vista3d_frz_pt_f100,configs/lowshot/ls_vista3d_frz_pt_f100.yaml,vista3d,True,True,1.0,frz_pt,native,True,N,native,pretrained
ls_vista3d_frz_sc_f001,configs/lowshot/ls_vista3d_frz_sc_f001.yaml,vista3d,True,False,0.01,frz_sc,native,True,N,native,pretrained
ls_vista3d_frz_sc_f005,configs/lowshot/ls_vista3d_frz_sc_f005.yaml,vista3d,True,False,0.05,frz_sc,native,True,N,native,pretrained
ls_vista3d_frz_sc_f010,configs/lowshot/ls_vista3d_frz_sc_f010.yaml,vista3d,True,False,0.1,frz_sc,native,True,N,native,pretrained
ls_vista3d_frz_sc_f025,configs/lowshot/ls_vista3d_frz_sc_f025.yaml,vista3d,True,False,0.25,frz_sc,native,True,N,native,pretrained
ls_vista3d_frz_sc_f100,configs/lowshot/ls_vista3d_frz_sc_f100.yaml,vista3d,True,False,1.0,frz_sc,native,True,N,native,pretrained
