run_name,config,backbone,freeze_backbone,pretrained,train_fraction,condition,adapter,probe_comparable,arm,window,arm_n_fine_source
ls_merlin_ft_pt_f005,configs/lowshot/ls_merlin_ft_pt_f005.yaml,merlin,False,True,0.05,ft_pt,native,True,N,native,fresh_stem_s0
ls_merlin_ft_pt_f010,configs/lowshot/ls_merlin_ft_pt_f010.yaml,merlin,False,True,0.1,ft_pt,native,True,N,native,fresh_stem_s0
ls_merlin_ft_pt_f025,configs/lowshot/ls_merlin_ft_pt_f025.yaml,merlin,False,True,0.25,ft_pt,native,True,N,native,fresh_stem_s0
ls_merlin_ft_pt_f100,configs/lowshot/ls_merlin_ft_pt_f100.yaml,merlin,False,True,1.0,ft_pt,native,True,N,native,fresh_stem_s0
ls_merlin_ft_sc_f001,configs/lowshot/ls_merlin_ft_sc_f001.yaml,merlin,False,False,0.01,ft_sc,native,True,N,native,fresh_stem_s0
ls_merlin_ft_sc_f005,configs/lowshot/ls_merlin_ft_sc_f005.yaml,merlin,False,False,0.05,ft_sc,native,True,N,native,fresh_stem_s0
ls_merlin_ft_sc_f010,configs/lowshot/ls_merlin_ft_sc_f010.yaml,merlin,False,False,0.1,ft_sc,native,True,N,native,fresh_stem_s0
ls_merlin_ft_sc_f025,configs/lowshot/ls_merlin_ft_sc_f025.yaml,merlin,False,False,0.25,ft_sc,native,True,N,native,fresh_stem_s0
ls_merlin_ft_sc_f100,configs/lowshot/ls_merlin_ft_sc_f100.yaml,merlin,False,False,1.0,ft_sc,native,True,N,native,fresh_stem_s0
ls_dino3dU_frz_pt_f001,configs/lowshot/ls_dino3dU_frz_pt_f001.yaml,dino3d_upsample,True,True,0.01,frz_pt,upsample,True,N,native,resampled_tokens
ls_dino3dU_frz_pt_f005,configs/lowshot/ls_dino3dU_frz_pt_f005.yaml,dino3d_upsample,True,True,0.05,frz_pt,upsample,True,N,native,resampled_tokens
ls_dino3dU_frz_pt_f010,configs/lowshot/ls_dino3dU_frz_pt_f010.yaml,dino3d_upsample,True,True,0.1,frz_pt,upsample,True,N,native,resampled_tokens
ls_dino3dU_frz_pt_f025,configs/lowshot/ls_dino3dU_frz_pt_f025.yaml,dino3d_upsample,True,True,0.25,frz_pt,upsample,True,N,native,resampled_tokens
ls_dino3dU_frz_pt_f100,configs/lowshot/ls_dino3dU_frz_pt_f100.yaml,dino3d_upsample,True,True,1.0,frz_pt,upsample,True,N,native,resampled_tokens
ls_dino3dU_frz_sc_f001,configs/lowshot/ls_dino3dU_frz_sc_f001.yaml,dino3d_upsample,True,False,0.01,frz_sc,upsample,True,N,native,resampled_tokens
ls_dino3dU_frz_sc_f005,configs/lowshot/ls_dino3dU_frz_sc_f005.yaml,dino3d_upsample,True,False,0.05,frz_sc,upsample,True,N,native,resampled_tokens
ls_dino3dU_frz_sc_f010,configs/lowshot/ls_dino3dU_frz_sc_f010.yaml,dino3d_upsample,True,False,0.1,frz_sc,upsample,True,N,native,resampled_tokens
ls_dino3dU_frz_sc_f025,configs/lowshot/ls_dino3dU_frz_sc_f025.yaml,dino3d_upsample,True,False,0.25,frz_sc,upsample,True,N,native,resampled_tokens
ls_dino3dU_frz_sc_f100,configs/lowshot/ls_dino3dU_frz_sc_f100.yaml,dino3d_upsample,True,False,1.0,frz_sc,upsample,True,N,native,resampled_tokens
ls_dino3dU_ft_pt_f001,configs/lowshot/ls_dino3dU_ft_pt_f001.yaml,dino3d_upsample,False,True,0.01,ft_pt,upsample,True,N,native,resampled_tokens
ls_dino3dU_ft_pt_f005,configs/lowshot/ls_dino3dU_ft_pt_f005.yaml,dino3d_upsample,False,True,0.05,ft_pt,upsample,True,N,native,resampled_tokens
ls_dino3dU_ft_pt_f010,configs/lowshot/ls_dino3dU_ft_pt_f010.yaml,dino3d_upsample,False,True,0.1,ft_pt,upsample,True,N,native,resampled_tokens
ls_dino3dU_ft_pt_f025,configs/lowshot/ls_dino3dU_ft_pt_f025.yaml,dino3d_upsample,False,True,0.25,ft_pt,upsample,True,N,native,resampled_tokens
ls_dino3dU_ft_pt_f100,configs/lowshot/ls_dino3dU_ft_pt_f100.yaml,dino3d_upsample,False,True,1.0,ft_pt,upsample,True,N,native,resampled_tokens
ls_dino3dU_ft_sc_f001,configs/lowshot/ls_dino3dU_ft_sc_f001.yaml,dino3d_upsample,False,False,0.01,ft_sc,upsample,True,N,native,resampled_tokens
ls_dino3dU_ft_sc_f005,configs/lowshot/ls_dino3dU_ft_sc_f005.yaml,dino3d_upsample,False,False,0.05,ft_sc,upsample,True,N,native,resampled_tokens
ls_dino3dU_ft_sc_f010,configs/lowshot/ls_dino3dU_ft_sc_f010.yaml,dino3d_upsample,False,False,0.1,ft_sc,upsample,True,N,native,resampled_tokens
ls_dino3dU_ft_sc_f025,configs/lowshot/ls_dino3dU_ft_sc_f025.yaml,dino3d_upsample,False,False,0.25,ft_sc,upsample,True,N,native,resampled_tokens
ls_dino3dU_ft_sc_f100,configs/lowshot/ls_dino3dU_ft_sc_f100.yaml,dino3d_upsample,False,False,1.0,ft_sc,upsample,True,N,native,resampled_tokens
ls_merlinISO_frz_pt_f001,configs/lowshot/ls_merlinISO_frz_pt_f001.yaml,merlin_isotropic,True,True,0.01,frz_pt,native,True,N,native,fresh_stem_s0
ls_merlinISO_frz_pt_f005,configs/lowshot/ls_merlinISO_frz_pt_f005.yaml,merlin_isotropic,True,True,0.05,frz_pt,native,True,N,native,fresh_stem_s0
ls_merlinISO_frz_pt_f010,configs/lowshot/ls_merlinISO_frz_pt_f010.yaml,merlin_isotropic,True,True,0.1,frz_pt,native,True,N,native,fresh_stem_s0
ls_merlinISO_frz_pt_f025,configs/lowshot/ls_merlinISO_frz_pt_f025.yaml,merlin_isotropic,True,True,0.25,frz_pt,native,True,N,native,fresh_stem_s0
ls_merlinISO_frz_pt_f100,configs/lowshot/ls_merlinISO_frz_pt_f100.yaml,merlin_isotropic,True,True,1.0,frz_pt,native,True,N,native,fresh_stem_s0
ls_merlinISO_frz_sc_f001,configs/lowshot/ls_merlinISO_frz_sc_f001.yaml,merlin_isotropic,True,False,0.01,frz_sc,native,True,N,native,fresh_stem_s0
ls_merlinISO_frz_sc_f005,configs/lowshot/ls_merlinISO_frz_sc_f005.yaml,merlin_isotropic,True,False,0.05,frz_sc,native,True,N,native,fresh_stem_s0
ls_merlinISO_frz_sc_f010,configs/lowshot/ls_merlinISO_frz_sc_f010.yaml,merlin_isotropic,True,False,0.1,frz_sc,native,True,N,native,fresh_stem_s0
ls_merlinISO_frz_sc_f025,configs/lowshot/ls_merlinISO_frz_sc_f025.yaml,merlin_isotropic,True,False,0.25,frz_sc,native,True,N,native,fresh_stem_s0
ls_merlinISO_frz_sc_f100,configs/lowshot/ls_merlinISO_frz_sc_f100.yaml,merlin_isotropic,True,False,1.0,frz_sc,native,True,N,native,fresh_stem_s0
